red,orange,yellow,green,blue,white,brown,cyan,gray,pink,darkslategray,no match,initial_price,curr_price,days_since_release,skin_type
1,0,1,0,6,31,0,22,31084,1963,22603,0,2.49,1.26,1760,Longsleeve T-Shirt
2,0,0,0,4,5,472,20,2608,82,9172,0,1.36,4.17,906,Longsword
0,77,0,0,9,0,3118,27,2294,102,6309,0,1.99,4.56,928,Semi-Automatic Rifle
1,3,0,0,4,252,1232,30,18655,5781,25904,0,1.49,1.86,928,Large Wood Box
1,1,0,0,4,900,12,16,2687,313,33850,0,9.99,15.54,1300,Metal Facemask
1,0,0,0,6,523,2,395,4954,683,9422,0,2.99,5.28,382,Assault Rifle
0,0,0,0,5,745,0,209,6366,488,4919,0,1.99,4.26,332,Bolt Action Rifle
0,0,0,0,5,809,1,689,3673,391,18420,0,0.99,1.2,360,Coffee Can Helmet
0,0,0,0,2,447,0,494,4659,296,28155,0,0.99,2.3,298,Metal Chest Plate
0,0,0,1,5,1460,0,1168,7651,413,27115,0,0.99,1.96,298,Metal Facemask
0,0,0,0,6,869,1,423,6619,569,19151,0,1.99,2.47,375,Python Revolver
1,0,0,0,5,78,1,193,2945,208,25756,0,0.99,2.86,360,Road Sign Kilt
0,0,0,0,11,66,1,138,4936,174,22962,0,0.99,1.59,360,Road Sign Jacket
0,0,0,0,3,53,0,113,1385,47,10482,0,1.99,9.75,353,Thompson
0,0,0,0,2,0,759,30,36,0,1164,0,5.99,1.41,1556,Hoodie
0,0,1,1,6,346,258,19,13297,1386,33926,0,2.34,1.27,1216,Satchel Charge
505,475,1,373,88,1258,8088,91,9330,3253,25331,0,0.99,0.96,163,Satchel Charge
0,248,1,1,5,854,4848,19,18289,3890,25834,0,1.13,3.08,1138,Satchel Charge
0,0,0,0,8,75,541,27,14116,1047,54896,0,0.99,3.0,717,Boots
0,0,0,0,5,332,1204,31,19787,2583,31569,0,0.99,2.0,717,Leather Gloves
0,0,0,0,3,30,5,29,14081,227,32462,0,0.99,1.9,717,Hoodie
1,0,0,0,9,201,106,23,7649,254,25356,0,0.99,1.67,717,Pants
0,106,0,0,10,31,2806,29,6226,328,12976,0,1.99,1.43,501,LR-300
2,18619,1933,0,9,402,4789,19,1593,459,1419,0,11.0,44.94,1220,Eoka Pistol
3,517,0,0,2,4,29270,6,6358,185,33620,0,1.49,7.05,732,Garage Door
0,3,0,0,1,142,6161,16,4107,425,11102,0,0.99,0.8,437,Burlap Headwrap
2,486,0,0,4,0,42065,16,2034,22,5860,0,1.49,5.75,472,Rug
7,0,0,2,5,134,13898,13,6266,475,35146,0,1.49,5.71,710,Sheet Metal Door
0,0,0,0,5,840,2740,34,8161,1281,22392,0,2.19,4.36,1138,Revolver
0,0,0,0,8,41,0,26,4007,390,9750,0,1.49,1.88,1215,Semi-Automatic Rifle
1,0,0,0,12,60,1,37,6383,543,13650,0,1.49,3.14,1188,Custom SMG
0,0,0,0,5,426,361,18,20614,3836,17937,0,1.99,4.09,1047,Rock
1,3,0,0,4,1,3,16,19414,278,34427,0,1.49,2.56,1026,Wooden Door
2,1082,564,0,5,4042,1506,61,6920,241,48154,0,8.95,4.5,1206,Vending Machine
5,2981,1581,0,21,905,6809,484,16804,758,15593,0,2.65,1.51,1166,Semi-Automatic Pistol
1,0,0,0,11,2495,1,22,26431,12184,6197,0,2.49,1.7,1711,T-Shirt
0,0,0,0,9,397,3248,32,8554,2123,8340,0,1.99,2.46,13,LR-300
102,2454,1207,0,9,4,2608,30,14526,1901,3723,0,4.99,7.06,522,MP5A4
1186,1827,8956,0,69,1482,3183,1290,11251,3664,6494,0,4.99,7.78,472,Python Revolver
1,0,0,0,7,390,52,24,4902,630,10854,0,2.99,2.84,725,Assault Rifle
1,0,0,0,6,187,528,15,4051,826,7435,0,9.99,8.71,1292,Assault Rifle
1,0,0,0,11,171,12,17,7946,1207,18269,0,1.39,4.46,1095,Rocket Launcher
1,0,1,0,4,7,125,15,19258,861,36010,0,1.49,6.25,1005,Sleeping Bag
0,0,0,0,4,497,1621,17,8897,1276,17113,0,0.99,1.38,523,Bandana Mask
0,0,0,0,3,522,0,17,5910,1201,16625,0,1.99,1.47,969,Hatchet
4,47,0,0,6,62,1340,23,7956,959,8667,0,1.99,2.3,632,Assault Rifle
0,327,33,0,5,169,2348,18,5652,1219,4479,0,1.99,3.32,583,Bolt Action Rifle
0,2877,167,0,2,78,1377,22,6967,798,31526,0,1.49,1.38,45,Furnace
2,0,0,0,4,334,1075,29,7591,1473,35794,0,0.99,0.75,522,Metal Chest Plate
2,65,0,0,4,680,2218,20,9899,1463,29113,0,0.99,0.74,522,Metal Facemask
1,0,0,0,7,986,292,14,2577,904,8648,0,1.88,3.39,1201,Double Barrel Shotgun
0,3,0,0,5,250,0,18,23384,2435,17280,0,1.99,1.78,717,Rock
1,2,0,0,5,884,70,23,8955,1832,8013,0,1.99,2.52,998,Assault Rifle
1,14057,1780,1,3,117,19247,12,874,569,3185,0,2.49,4.14,494,Rock
0,1,3,0,4,74,102,17,6745,406,49594,0,2.49,6.48,179,Wooden Door
1,1,0,0,4,40,1,16,3729,1774,33615,0,38.13,367.81,1319,Metal Facemask
1,0,0,0,4,177,0,13,15031,3494,25908,0,5.27,2.28,1227,Burlap Shirt
0,0,0,0,3,769,578,13,8844,651,12920,0,1.74,4.19,1187,Riot Helmet
2,4825,461,0,2,731,9526,25,11500,3720,36899,0,0.99,0.86,94,Boots
4,275,7,2,3,107,26223,16,3912,259,19905,0,1.49,1.62,123,Sheet Metal Door
0,1183,12,0,2,348,14137,22,4547,971,19481,0,1.49,1.83,149,Furnace
2,4738,150,0,3,946,5008,33,20234,4385,20062,0,1.49,1.07,94,Leather Gloves
0,254,0,0,2,206,5951,26,4068,243,20648,0,0.99,0.78,102,Hoodie
1,1320,17,0,8,67,6391,22,4450,523,21958,0,0.99,0.74,102,Pants
4,14187,0,0,6,487,13760,13,10570,2422,11014,0,13.98,7.6,1207,Fridge
0,0,0,0,7,73,1,20,17742,600,10893,0,1.86,16.47,1151,Eoka Pistol
881,2217,35,0,2,899,4325,268,8933,2676,20625,0,2.41,2.63,465,Furnace
1,0,0,0,5,2056,123,26,11684,2875,19375,0,1.29,1.23,649,Python Revolver
0,49,0,0,4,95,4401,34,1639,617,7035,0,1.99,2.06,11,Stone Hatchet
0,76,0,0,7,44,2858,43,3107,359,8704,0,1.99,2.24,11,Stone Pickaxe
3,224,3,0,7,569,801,2881,7537,477,27623,0,1.99,1.33,1110,Semi-Automatic Pistol
0,0,0,0,5,0,1,40,1723,0,41521,0,9.15,0.08,1681,Snow Jacket
5,1,0,1,4,95,5,13,2900,1046,21750,0,3.63,3.18,1290,Acoustic Guitar
0,0,0,0,5,99,728,31,9986,1279,15163,0,7.22,2.74,1270,Leather Gloves
0,0,0,0,1,5,0,18,4903,216,30697,0,3.42,0.14,1754,Bandana Mask
0,0,0,0,1,0,0,16,67,0,16306,0,1.62,0.07,1789,Beenie Hat
0,0,0,1,9,2,1,26,2386,16,22326,0,2.54,0.4,1789,Boots
4,0,0,0,2,72,1,18,5897,1284,49174,0,2.68,5.18,1033,Wooden Door
0,0,0,0,4,0,1,28,895,3,13610,0,4.57,0.3,1789,Hoodie
0,0,1,0,5,0,1,23,2166,0,42905,0,2.49,0.59,1796,Longsleeve T-Shirt
1,2,0,0,3,570,109,27,18308,1899,16709,0,1.99,1.6,913,Python Revolver
0,0,0,0,4,0,0,7,0,0,1386,0,4.99,18.94,1304,Tank Top
0,0,0,0,8,173,0,32,5963,521,12873,0,1.99,5.6,381,LR-300
1,0,0,0,8,0,1,24,3937,136,9526,0,2.49,0.21,1796,T-Shirt
3,0,0,0,2,1,0,25,3905,31,26207,0,0.99,1.98,25,Boots
0,0,0,0,2,1,0,18,809,0,24804,0,0.99,1.29,11,Metal Chest Plate
0,1,0,0,4,102,0,20,2549,275,23966,0,0.99,1.6,11,Metal Facemask
2,0,0,0,3,35,276,33,8290,860,22500,0,1.49,4.36,25,Leather Gloves
1,1,0,0,2,14,0,26,202,21,8380,0,0.99,4.47,32,Hoodie
0,0,0,0,8,0,1,24,40,0,6328,0,0.99,3.76,32,Pants
0,1938,0,0,2,335,1255,21,6863,831,28893,0,1.49,2.52,907,Furnace
0,0,0,0,6,0,0,16,323,5,31939,0,0.99,10.08,998,Burlap Trousers
0,0,0,0,4,47,2,13,4937,244,38531,0,0.99,5.24,998,Burlap Shirt
5,19,0,2,3,1,7381,16,663,59,40766,0,1.49,3.86,823,Sheet Metal Door
0,208,0,0,8,216,366,15,13162,1080,13559,0,5.45,3.56,879,Waterpipe Shotgun
4,57,0,0,2,29,4655,22,26714,454,22515,0,1.49,3.27,458,Armored Door
2,8,0,0,5,497,53,15,6779,2372,31051,0,0.99,3.08,739,Riot Helmet
4,0,0,0,3,0,1,17,92,0,25797,0,1.51,5.58,1215,Wooden Door
1,1,0,0,4,630,617,16,3196,260,36214,0,14.99,1.6,1301,Metal Facemask
0,695,0,0,5,5,9081,17,4383,169,35490,0,1.49,5.74,389,Rug
0,0,0,0,8,3,340,27,1424,115,7592,0,1.99,7.27,963,Semi-Automatic Rifle
0,0,0,0,5,109,155,14,6447,803,13171,0,1.32,1.87,1016,Stone Hatchet
0,0,0,0,9,208,1111,26,11419,1328,48731,0,2.49,0.72,1711,Boots
0,0,0,0,3,6,2742,29,5062,368,25988,0,2.49,0.52,1761,Hoodie
0,2,0,0,7,19,3838,15,6620,467,5739,0,1.4,2.41,1250,Stone Pickaxe
0,0,0,0,2,0,0,17,3033,61,34410,0,8.03,0.09,1754,Bandana Mask
0,0,0,0,2,0,0,16,4097,0,46635,0,0.77,0.07,1789,Beenie Hat
0,0,0,0,6,0,1,18,2259,2,41581,0,1.19,0.07,1782,Baseball Cap
0,0,0,0,2,0,1,28,3951,35,33791,0,1.24,0.07,1789,Hoodie
5,1,0,0,10,5,3,16,4087,206,45495,0,0.89,0.07,1796,Jacket
1,0,0,1,9,0,26,21,885,4,34183,0,0.85,0.07,1796,Pants
1,0,0,0,4,161,1,15,14238,1222,35022,0,4.99,3.61,1761,Sleeping Bag
6,0,0,2,4,520,6,15,7462,661,48466,0,1.49,2.53,1026,Sheet Metal Door
2,0,0,0,0,511,30,21,15001,921,53376,0,2.1,5.7,1249,Hide Skirt
1,0,0,0,7,1,1,24,906,29,28127,0,2.49,1.21,1761,Pants
1,0,0,0,8,0,2,24,5381,136,40618,0,0.96,0.07,1789,T-Shirt
0,0,0,0,7,153,7,14,5571,547,8587,0,1.99,3.09,681,Double Barrel Shotgun
4,2,1,2,6,62,3745,11,6486,329,39853,0,1.49,1.94,788,Sheet Metal Door
0,0,0,28,9,252,201,40,4501,548,15494,0,1.99,3.29,591,LR-300
0,0,0,0,5,486,100,18,6261,2461,4361,0,1.99,4.11,613,Bolt Action Rifle
0,1,0,0,4,252,147,16,4045,478,28918,0,1.24,0.92,1257,Metal Facemask
180,1926,158,3,2,616,3312,18,10499,1070,24950,0,0.99,0.73,142,Metal Chest Plate
6,297,45,0,5,451,2334,17,6071,592,24330,0,0.99,0.69,142,Metal Facemask
2,246,3,0,5,553,1459,25,5704,1868,20696,0,0.99,0.93,262,Coffee Can Helmet
1,3008,0,0,6,9,3830,35,3291,277,30395,0,0.99,4.03,263,Road Sign Kilt
0,40,0,0,6,216,273,32,2588,374,10516,0,1.99,6.9,410,M249
0,198,2,0,12,293,5012,18,9246,1451,25540,0,0.99,0.92,263,Road Sign Jacket
